prix	livraison	etat	retour	memoire	console	manette	cable	nbjeu	edition
49.99	7.0	Pour pièces détachées/ne fonctionne pas	Non	0	NGP	NaN	oui	0.0	non
115.61	0.0	Neuf	Oui	0	GBA	NaN	oui	0.0	non
94.8	0.0	Occasion	Oui	0	GBA SP	NaN	oui	0.0	non
159.46	53.04	Occasion	Oui	0	PS2	NaN	oui	0.0	non
330.27	44.0	Occasion	Oui	0	Game cube	NaN	oui	0.0	non
449.9	0.0	Occasion	Oui	0	DSlite	NaN	oui	0.0	oui
44.99	4.99	Occasion	Oui	0	GBA	oui	oui	3.0	non
208.59	22.05	Occasion	Oui	0	GBA	NaN	oui	0.0	non
74.0	5.0	Occasion	Non	0	GBA SP	NaN	oui	0.0	non
137.75	5.0	Occasion	Oui	0	PSP	NaN	oui	0.0	oui
113.84	0.0	Occasion	Oui	0	SNES	NaN	oui	0.0	non
65.0	14.0	Occasion	Non	0	PS2	oui	oui	1.0	non
90.0	15.5	Occasion	Non	0	GBA SP	NaN	oui	0.0	non
199.9	8.9	Reconditionné par le vendeur	Non	0	GBA SP	NaN	oui	0.0	non
53.6	0.0	Occasion	Oui	0	DSlite	oui	oui	0.0	non
250.0	0.0	Neuf	Non	0	Nintendo Mini	NaN	oui	0.0	non
179.0	0.0	Reconditionné par le vendeur	Oui	0	GBA SP	NaN	oui	0.0	non
154.68	8.85	Occasion	Oui	0	NES	NaN	oui	0.0	non
181.17	0.0	Occasion	Oui	0	Switch lite	NaN	oui	0.0	non
17058.58	44.18	Occasion	Oui	0	Dreamcast	NaN	oui	0.0	non
115.0	0.0	Occasion	Oui	0	PS Vita	NaN	oui	0.0	non
164.71	0.0	Occasion	Oui	0	Game Boy	oui	oui	0.0	non
109.99	0.0	Occasion	Non	0	Wii U	NaN	oui	0.0	non
169.9	0.0	Neuf	Oui	0	2DS	NaN	oui	0.0	non
153.21	0.0	Occasion	Oui	0	GBA	NaN	oui	0.0	non
353.53	0.0	Neuf	Oui	0	PS Vita	oui	oui	0.0	non
575.0	0.0	Neuf	Non	0	Switch	oui	oui	0.0	oui
649.0	0.0	Neuf	Non	0	Xbox Series X	NaN	oui	0.0	non
114.9	0.0	Occasion	Oui	0	PS2 slim	oui	oui	0.0	non
188.0	17.0	Occasion	Oui	0	PS2 slim	oui	oui	0.0	non
139.9	0.0	Occasion	Oui	0	Wii	NaN	oui	0.0	non
169.9	0.0	Occasion	Oui	0	NGP	NaN	oui	0.0	non
249.9	0.0	Occasion	Oui	0	DSi	oui	oui	0.0	non
40.0	5.0	Reconditionné par le vendeur	Non	0	Wii	oui	oui	0.0	non
95.0	0.0	Occasion	Non	0	Game cube	oui	oui	4.0	non
133.99	8.0	Occasion	Oui	0	PS Vita	NaN	oui	0.0	non
349.99	17.1	Occasion	Oui	0	Game cube	oui	oui	0.0	oui
434.56	44.41	Occasion	Oui	0	N64	NaN	oui	0.0	non
450.0	9.0	Occasion	Non	1000.0	PS4	oui	oui	2.0	oui
119.9	4.95	Neuf	Non	0	Game Gear	NaN	oui	1.0	non
156.44	22.14	Occasion	Oui	0	Game Boy	NaN	oui	0.0	non
224.9	0.0	Occasion	Oui	0	Switch	NaN	oui	0.0	non
179.79	0.0	Occasion	Oui	0	NES	oui	oui	0.0	non
149.0	0.0	Occasion	Oui	0	PSP	oui	oui	0.0	non
180.0	25.0	Occasion	Non	160.0	PS3	oui	oui	0.0	non
175.75	5.0	Occasion	Oui	0	DSi	NaN	oui	0.0	oui
225.97	44.36	Occasion	Oui	0	N64	NaN	oui	0.0	non
956.03	21.99	Occasion	Oui	0	Game Boy	NaN	oui	0.0	non
115.0	17.0	Occasion	Oui	0	PS2 slim	oui	oui	0.0	non
59.9	0.0	Occasion	Oui	0	Game cube	oui	oui	0.0	non
199.99	25.0	Occasion	Non	500.0	PS4	oui	oui	0.0	non
385.0	10.0	Neuf	Non	0	Switch	NaN	oui	0.0	non
9.9	4.9	Pour pièces détachées/ne fonctionne pas	Oui	0	PS1	oui	non	0.0	non
57.5	10.0	Occasion	Non	0	Mega Drive	oui	oui	0.0	non
1386.04	15.42	Occasion	Oui	0	GBA SP	NaN	oui	0.0	non
347.65	44.36	Occasion	Oui	0	N64	NaN	oui	0.0	non
59.9	0.0	Occasion	Oui	0	Mega Drive	oui	oui	0.0	non
202.25	0.0	Occasion	Oui	0	PS2	NaN	oui	0.0	non
847.33	0.0	Neuf	Oui	0	PS2	NaN	oui	0.0	non
352.86	0.0	Occasion	Oui	0	DSlite	NaN	oui	0.0	non
78.35	0.0	Occasion	Oui	0	3DS	oui	oui	0.0	non
44.9	0.0	Occasion	Oui	0	PS2	oui	oui	0.0	non
80.0	5.0	Occasion	Non	0	3DS	NaN	oui	0.0	non
78.2	0.0	Occasion	Oui	0	N64	oui	oui	0.0	non
2583.12	0.0	Occasion	Oui	0	Game Boy	NaN	oui	0.0	oui
122.7	0.0	Occasion	Oui	0	PS2 slim	oui	oui	0.0	non
136.85	53.23	Occasion	Oui	0	PS2	NaN	oui	0.0	non
86.14	8.39	Occasion	Oui	0	3DS	NaN	oui	0.0	non
133.7	0.0	Occasion	Oui	0	3DS XL	oui	oui	0.0	non
3797.22	57.18	Occasion	Oui	0	Neo-Geo AES	NaN	oui	0.0	non
100.0	14.1	Occasion	Non	0	N64	oui	oui	1.0	non
218.33	0.0	Occasion	Oui	0	N64	NaN	oui	0.0	non
170.59	0.0	Occasion	Oui	0	NES	NaN	oui	0.0	non
64.9	12.9	Occasion	Non	0	N64	oui	oui	0.0	non
250.0	8.0	Neuf	Non	0	2DSXL	NaN	oui	8.0	non
417.18	22.21	Occasion	Oui	0	GBA SP	NaN	oui	0.0	non
129.0	0.0	Occasion	Non	0	DSi	oui	oui	6.0	non
104.0	15.0	Occasion	Oui	0	PS1	oui	oui	0.0	non
120.0	0.0	Occasion	Non	0	PS2 slim	oui	oui	0.0	non
799.0	25.0	Neuf	Oui	0	PS5 blu-ray	oui	oui	0.0	non
389.0	10.0	Neuf	Oui	0	3DS XL	NaN	oui	0.0	oui
64.9	0.0	Occasion	Oui	4.0	Xbox 360s	oui	oui	0.0	non
50.0	14.0	Occasion	Oui	0	SNES	oui	oui	0.0	non
57.02	52.88	Occasion	Oui	0	Dreamcast	NaN	oui	0.0	non
113.72	53.14	Occasion	Oui	0	PS2	NaN	oui	0.0	non
92.0	0.0	Occasion	Non	0	Wii U	oui	oui	0.0	non
95.62	0.0	Occasion	Oui	0	PSP	oui	oui	0.0	non
199.9	0.0	Occasion	Oui	0	DSi	oui	oui	0.0	oui
33.0	5.0	Occasion	Oui	0	DSi	NaN	oui	0.0	non
129.0	0.0	Occasion	Oui	0	GBA	NaN	oui	0.0	non
425.76	0.0	Occasion	Oui	0	N64	NaN	oui	0.0	non
157.0	17.0	Occasion	Oui	0	PS2 slim	oui	oui	0.0	non
117.11	29.51	Occasion	Oui	0	SNES	NaN	oui	0.0	non
136.22	53.04	Occasion	Oui	0	PS1	NaN	oui	0.0	non
79.63	53.16	Occasion	Oui	0	Saturn	NaN	oui	0.0	non
44.9	4.9	Occasion	Oui	0	Game Boy	NaN	oui	0.0	non
149.9	0.0	Occasion	Oui	0	Saturn	oui	oui	0.0	non
112.49	0.0	Occasion	Oui	0	3DS XL	NaN	oui	0.0	oui
159.85	0.0	Occasion	Oui	0	3DS XL	oui	oui	0.0	non
156.44	22.05	Occasion	Oui	0	GBA SP	NaN	oui	0.0	non
224.9	0.0	Occasion	Oui	0	PS Vita	NaN	oui	0.0	non
605.33	0.0	Neuf	Oui	0	SNES	oui	oui	0.0	non
